timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-03-13T00:00:00.000Z";"2025-03-13T23:59:59.999Z";"2025-03-13T12:31:00.000Z";"2025-03-13T18:01:00.000Z";"2781";5.9121340079;6.0478666783;5.7029569105;5.8918506204;137653361.08;3538557798.39;"2025-03-13T23:59:59.999Z"
"2025-03-12T00:00:00.000Z";"2025-03-12T23:59:59.999Z";"2025-03-12T12:34:00.000Z";"2025-03-12T15:10:00.000Z";"2781";6.0940846346;6.1689795796;5.7719019028;5.9121340079;176467225.8;3550739699.04;"2025-03-12T23:59:59.999Z"
"2025-03-11T00:00:00.000Z";"2025-03-11T23:59:59.999Z";"2025-03-11T18:56:00.000Z";"2025-03-11T00:58:00.000Z";"2781";5.9272248572;6.2194530825;5.5618466641;6.0941419425;242141034.16;3660016537.59;"2025-03-11T23:59:59.999Z"
"2025-03-10T00:00:00.000Z";"2025-03-10T23:59:59.999Z";"2025-03-10T09:26:00.000Z";"2025-03-10T19:01:00.000Z";"2781";6.3887016993;6.9304085352;5.8198078296;5.927022702;201082306.49;3559681627.17;"2025-03-10T23:59:59.999Z"
"2025-03-09T00:00:00.000Z";"2025-03-09T23:59:59.999Z";"2025-03-09T00:34:00.000Z";"2025-03-09T23:10:00.000Z";"2781";7.1531927497;7.2094667828;6.3334749479;6.3887016993;132699307.61;3836959162.12;"2025-03-09T23:59:59.999Z"
"2025-03-08T00:00:00.000Z";"2025-03-08T23:59:59.999Z";"2025-03-08T20:01:00.000Z";"2025-03-08T10:00:00.000Z";"2781";7.0661602401;7.2134705503;6.8997953894;7.1531927497;103873986.73;4296101109.61;"2025-03-08T23:59:59.999Z"
"2025-03-07T00:00:00.000Z";"2025-03-07T23:59:59.999Z";"2025-03-07T14:49:00.000Z";"2025-03-07T01:02:00.000Z";"2781";7.1060352801;7.3397378718;6.8589976976;7.0661602401;190887476.42;4243830679.57;"2025-03-07T23:59:59.999Z"
"2025-03-06T00:00:00.000Z";"2025-03-06T23:59:59.999Z";"2025-03-06T05:25:00.000Z";"2025-03-06T17:52:00.000Z";"2781";7.5335750092;7.6776459256;7.0612673069;7.1060211881;201559765.62;4267762112.78;"2025-03-06T23:59:59.999Z"
"2025-03-05T00:00:00.000Z";"2025-03-05T23:59:59.999Z";"2025-03-05T23:49:00.000Z";"2025-03-05T01:07:00.000Z";"2781";7.0689704229;7.5513006521;7.0310018174;7.5337299344;203532914.27;4524140716.82;"2025-03-05T23:59:59.999Z"
"2025-03-04T00:00:00.000Z";"2025-03-04T23:59:59.999Z";"2025-03-04T00:00:00.000Z";"2025-03-04T16:37:00.000Z";"2781";7.1394517297;7.1394517297;6.5220613316;7.0690504205;301280546.97;4245044246.97;"2025-03-04T23:59:59.999Z"
"2025-03-03T00:00:00.000Z";"2025-03-03T23:59:59.999Z";"2025-03-03T00:02:00.000Z";"2025-03-03T22:01:00.000Z";"2781";8.2564139709;8.2631534489;7.0800263618;7.1393385376;224894775.07;4287369543.03;"2025-03-03T23:59:59.999Z"
